0	3
0	63
0	71
0	72
3	0
3	5
3	6
3	28
3	29
3	32
3	36
3	45
3	52
3	53
3	65
3	68
3	71
3	72
63	0
63	9
63	29
63	32
63	35
63	38
63	41
63	44
63	56
63	71
63	72
71	0
71	3
71	11
71	34
71	41
71	42
71	58
71	62
71	65
71	67
71	69
71	72
72	0
72	3
72	10
72	22
72	26
72	35
72	40
72	55
72	69
72	71
1	8
1	19
1	20
1	24
1	47
1	48
1	51
1	57
1	70
1	73
19	1
19	8
19	13
19	14
19	15
19	20
19	23
19	24
19	25
19	27
19	31
19	33
19	37
19	39
19	43
19	46
19	47
19	48
19	49
19	50
19	51
19	54
19	57
19	59
19	60
19	61
19	64
19	66
19	70
19	73
20	2
20	4
20	7
20	12
20	16
20	17
20	18
20	21
20	30
